group,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
2,software,_,NOUN,NN,_,73,nn,_,_,F
2,components,_,NOUN,NNS,_,70,dobj,_,_,F
2,",",_,.,",",_,73,punct,_,_,F
2,media,_,NOUN,NNS,_,73,conj,_,_,F
2,",",_,.,",",_,73,punct,_,_,F
2,printed,_,VERB,VBN,_,78,amod,_,_,F
2,materials,_,NOUN,NNS,_,73,conj,_,_,F
2,",",_,.,",",_,73,punct,_,_,F
2,and,_,CONJ,CC,_,73,cc,_,_,F
2,``,_,.,``,_,82,punct,_,_,F
2,online,_,ADJ,JJ,_,73,conj,_,_,F
2,'',_,.,'',_,82,punct,_,_,F
2,or,_,CONJ,CC,_,82,cc,_,_,F
2,electronic,_,ADJ,JJ,_,86,amod,_,_,F
2,documentation,_,NOUN,NN,_,82,conj,_,_,F
2,-LRB-,_,.,-LRB-,_,95,punct,_,_,F
2,``,_,.,``,_,95,punct,_,_,F
2,SOFTWARE,_,NOUN,NNP,_,90,nn,_,_,F
2,PRODUCT,_,NOUN,NN,_,95,dep,_,_,F
2,-LRB-,_,.,-LRB-,_,95,punct,_,_,F
2,S,_,NOUN,NNP,_,95,nn,_,_,F
2,-RRB-,_,.,-RRB-,_,95,punct,_,_,F
2,AND/OR,_,NOUN,NNP,_,95,nn,_,_,F
2,WEBSITES,_,NOUN,NNS,_,82,dep,_,_,F
2,'',_,.,'',_,95,punct,_,_,F
2,-RRB-,_,.,-RRB-,_,95,punct,_,_,F
2,.,_,.,.,_,5,punct,_,_,F
3,http,_,X,ADD,_,0,ROOT,_,_,F
3,:,_,.,:,_,1,punct,_,_,F
3,//www.abbyyonline.com/en/help/planeeula,_,NOUN,NNP,_,7,nn,_,_,F
3,ABBYY,_,NOUN,NNP,_,7,nn,_,_,F
3,ONLINE,_,NOUN,NNP,_,7,nn,_,_,F
3,END-USER,_,NOUN,NNP,_,7,nn,_,_,F
3,AGREEMENT,_,NOUN,NNP,_,10,nn,_,_,F
3,This,_,DET,DT,_,10,det,_,_,F
3,end-user,_,ADJ,JJR,_,10,amod,_,_,F
3,agreement,_,NOUN,NN,_,1,dep,_,_,F
3,-LRB-,_,.,-LRB-,_,25,punct,_,_,F
3,hereinafter,_,NOUN,NN,_,25,nsubj,_,_,F
3,referred,_,VERB,VBN,_,12,partmod,_,_,F
3,to,_,ADP,IN,_,13,prep,_,_,F
3,as,_,ADP,IN,_,13,prep,_,_,F
3,``,_,.,``,_,18,punct,_,_,F
3,this,_,DET,DT,_,18,det,_,_,F
3,Agreement,_,NOUN,NN,_,15,pobj,_,_,F
3,'',_,.,'',_,18,punct,_,_,F
3,-RRB-,_,.,-RRB-,_,18,punct,_,_,F
3,is,_,VERB,VBZ,_,25,cop,_,_,F
3,a,_,DET,DT,_,25,det,_,_,F
3,legally,_,ADV,RB,_,24,advmod,_,_,F
3,binding,_,VERB,VBG,_,25,amod,_,_,F
3,agreement,_,NOUN,NN,_,10,dep,_,_,F
3,between,_,ADP,IN,_,25,prep,_,_,F
3,you,_,PRON,PRP,_,26,pobj,_,_,T
3,",",_,.,",",_,25,punct,_,_,F
3,either,_,CONJ,CC,_,31,preconj,_,_,F
3,a,_,DET,DT,_,31,det,_,_,F
3,natural,_,ADJ,JJ,_,25,dep,_,_,F
3,or,_,CONJ,CC,_,31,cc,_,_,F
3,a,_,DET,DT,_,35,det,_,_,F
3,legal,_,ADJ,JJ,_,35,amod,_,_,F
3,person,_,NOUN,NN,_,31,conj,_,_,F
3,",",_,.,",",_,25,punct,_,_,F
3,hereinafter,_,NOUN,NN,_,38,nsubj,_,_,F
3,referred,_,VERB,VBD,_,25,dep,_,_,F
3,to,_,ADP,IN,_,38,prep,_,_,F
3,as,_,ADP,IN,_,38,prep,_,_,F
3,``,_,.,``,_,42,punct,_,_,F
3,You,_,PRON,PRP,_,40,pobj,_,_,F
3,'',_,.,'',_,42,punct,_,_,F
3,and,_,CONJ,CC,_,42,cc,_,_,F
3,ABBYY,_,NOUN,NNP,_,42,conj,_,_,T
3,",",_,.,",",_,38,punct,_,_,F
3,governing,_,VERB,VBG,_,38,xcomp,_,_,F
3,the,_,DET,DT,_,49,det,_,_,F
3,use,_,NOUN,NN,_,47,dobj,_,_,F
3,of,_,ADP,IN,_,49,prep,_,_,F
3,the,_,DET,DT,_,54,det,_,_,F
3,ABBYY,_,NOUN,NNP,_,53,nn,_,_,F
3,Online,_,NOUN,NNP,_,54,nn,_,_,F
3,Portal,_,NOUN,NNP,_,50,pobj,_,_,F
3,available,_,ADJ,JJ,_,54,amod,_,_,F
3,at,_,ADP,IN,_,55,prep,_,_,F
3,http,_,X,ADD,_,56,pobj,_,_,F
3,:,_,.,:,_,57,punct,_,_,F
3,//www.abbyyonline.com/,_,NOUN,NNP,_,57,dep,_,_,F
3,",",_,.,",",_,59,punct,_,_,F
3,the,_,DET,DT,_,62,det,_,_,F
3,use,_,NOUN,NN,_,59,appos,_,_,F
3,of,_,ADP,IN,_,62,prep,_,_,F
3,the,_,DET,DT,_,66,det,_,_,F
3,ABBYY,_,NOUN,NNP,_,66,nn,_,_,F
3,PDF,_,NOUN,NNP,_,63,pobj,_,_,F
3,to,_,ADP,IN,_,62,prep,_,_,F
3,Word,_,NOUN,NNP,_,69,nn,_,_,F
3,service,_,NOUN,NN,_,67,pobj,_,_,F
3,available,_,ADJ,JJ,_,69,amod,_,_,F
3,at,_,ADP,IN,_,70,prep,_,_,F
3,https,_,X,ADD,_,71,pobj,_,_,F
3,:,_,.,:,_,69,punct,_,_,F
3,//apps,_,NOUN,NNS,_,69,dep,_,_,F
3,.,_,.,.,_,1,punct,_,_,F
4,COM,_,X,UH,_,0,ROOT,_,_,F
4,OR,_,NOUN,NNP,_,1,dep,_,_,F
4,ITS,_,.,``,_,2,dep,_,_,F
4,AFFILIATES,_,NOUN,NNPS,_,7,nsubj,_,_,F
4,OR,_,ADP,IN,_,4,prep,_,_,F
4,OTHERWISE,_,NOUN,NNP,_,5,pobj,_,_,F
4,DISTRIBUTED,_,VERB,VBD,_,3,dep,_,_,F
4,BY,_,NOUN,NNP,_,7,prep,_,_,F
4,AGE,_,NOUN,NNP,_,8,pobj,_,_,F
4,",",_,.,",",_,7,punct,_,_,F
4,YOU,_,PRON,PRP,_,12,nsubj,_,_,F
4,ACCEPT,_,VERB,VBZ,_,7,parataxis,_,_,F
4,ALL,_,DET,DT,_,15,dep,_,_,F
4,THE,_,DET,DT,_,15,det,_,_,F
4,TERMS,_,NOUN,NNS,_,12,dobj,_,_,F
4,AND,_,CONJ,CC,_,15,cc,_,_,F
4,CONDITIONS,_,NOUN,NNS,_,15,conj,_,_,F
4,OF,_,ADP,IN,_,15,prep,_,_,F
4,THIS,_,DET,DT,_,23,det,_,_,F
4,END,_,NOUN,NNP,_,23,nn,_,_,F
4,USER,_,NOUN,NNP,_,23,nn,_,_,F
4,LICENSE,_,NOUN,NNP,_,23,nn,_,_,F
4,AGREEMENT,_,NOUN,NNP,_,18,pobj,_,_,F
4,-LRB-,_,.,-LRB-,_,26,punct,_,_,F
4,``,_,.,``,_,26,punct,_,_,F
4,AGREEMENT,_,X,FW,_,23,appos,_,_,F
4,'',_,.,'',_,26,punct,_,_,F
4,-RRB-,_,.,-RRB-,_,26,punct,_,_,F
4,",",_,.,",",_,23,punct,_,_,F
4,INCLUDING,_,NOUN,NN,_,23,appos,_,_,F
4,",",_,.,",",_,12,punct,_,_,F
4,IN,_,ADV,RB,_,33,advmod,_,_,F
4,PARTICULAR,_,VERB,VBG,_,12,partmod,_,_,F
4,THE,_,DET,DT,_,35,det,_,_,F
4,LIMITATIONS,_,NOUN,NNPS,_,33,dobj,_,_,F
4,ON,_,ADV,RB,_,33,advmod,_,_,F
4,:,_,.,:,_,12,punct,_,_,F
4,USE,_,VERB,VB,_,12,parataxis,_,_,F
4,CONTAINED,_,VERB,VBN,_,38,dobj,_,_,F
4,IN,_,ADP,IN,_,38,prep,_,_,F
4,SECTION,_,NOUN,NN,_,40,pobj,_,_,F
4,2,_,NUM,CD,_,41,num,_,_,F
4,;,_,.,:,_,38,punct,_,_,F
4,TRANSFERABILITY,_,NOUN,NN,_,38,conj,_,_,F
4,IN,_,ADP,IN,_,44,prep,_,_,F
4,SECTION,_,NOUN,NN,_,45,pobj,_,_,F
4,4,_,NUM,CD,_,46,num,_,_,F
4,;,_,.,:,_,38,punct,_,_,F
4,WARRANTY,_,NOUN,NN,_,38,conj,_,_,F
4,IN,_,ADP,IN,_,49,prep,_,_,F
4,SECTION,_,NOUN,NN,_,50,pobj,_,_,F
4,9,_,NUM,CD,_,51,num,_,_,F
4,;,_,.,:,_,38,punct,_,_,F
4,AND,_,CONJ,CC,_,38,cc,_,_,F
4,LIABILITY,_,NOUN,NN,_,69,nsubj,_,_,F
4,IN,_,ADP,IN,_,55,prep,_,_,F
4,SECTION,_,NOUN,NN,_,56,pobj,_,_,F
4,10,_,X,LS,_,60,dep,_,_,F
4,YOU,_,PRON,PRP,_,60,nsubj,_,_,F
4,AGREE,_,VERB,VBP,_,55,dep,_,_,F
4,THAT,_,ADP,IN,_,60,prep,_,_,F
4,THIS,_,DET,DT,_,63,det,_,_,F
4,AGREEMENT,_,NOUN,NN,_,61,pobj,_,_,F
4,IS,_,VERB,VBZ,_,69,cop,_,_,F
4,A,_,DET,DT,_,69,det,_,_,F
4,LEGAL,_,NOUN,NN,_,69,amod,_,_,F
4,AND,_,CONJ,CC,_,66,cc,_,_,F
4,ENFORCEABLE,_,ADJ,JJ,_,66,conj,_,_,F
4,CONTRACT,_,NOUN,NN,_,38,conj,_,_,F
4,BETWEEN,_,.,-LRB-,_,69,punct,_,_,F
4,YOU,_,PRON,PRP,_,69,dep,_,_,T
4,AND,_,CONJ,CC,_,71,cc,_,_,F
4,AGE,_,NOUN,NNP,_,71,conj,_,_,T
4,.,_,.,.,_,1,punct,_,_,F
5,This,_,DET,DT,_,2,det,_,_,F
5,Agreement,_,NOUN,NN,_,7,nsubj,_,_,F
5,is,_,VERB,VBZ,_,7,cop,_,_,F
5,a,_,DET,DT,_,7,det,_,_,F
5,legally,_,ADV,RB,_,6,advmod,_,_,F
5,binding,_,VERB,VBG,_,7,amod,_,_,F
5,agreement,_,NOUN,NN,_,0,ROOT,_,_,F
5,between,_,ADP,IN,_,7,prep,_,_,F
5,you,_,PRON,PRP,_,8,pobj,_,_,T
5,and,_,CONJ,CC,_,9,cc,_,_,F
5,Licensor,_,NOUN,NNP,_,9,conj,_,_,T
5,.,_,.,.,_,7,punct,_,_,F
6,This,_,DET,DT,_,5,det,_,_,F
6,End,_,NOUN,NN,_,3,nn,_,_,F
6,User,_,NOUN,NN,_,5,nn,_,_,F
6,License,_,NOUN,NNP,_,5,nn,_,_,F
6,Agreement,_,NOUN,NN,_,15,nsubj,_,_,F
6,-LRB-,_,.,-LRB-,_,8,punct,_,_,F
6,``,_,.,``,_,8,punct,_,_,F
6,Agreement,_,NOUN,NN,_,5,appos,_,_,F
6,'',_,.,'',_,8,punct,_,_,F
6,-RRB-,_,.,-RRB-,_,8,punct,_,_,F
6,is,_,VERB,VBZ,_,15,cop,_,_,F
6,a,_,DET,DT,_,15,det,_,_,F
6,legally,_,ADV,RB,_,14,advmod,_,_,F
6,binding,_,VERB,VBG,_,15,amod,_,_,F
6,agreement,_,NOUN,NN,_,0,ROOT,_,_,F
6,between,_,ADP,IN,_,15,prep,_,_,F
6,you,_,PRON,PRP,_,16,pobj,_,_,T
6,",",_,.,",",_,15,punct,_,_,F
6,on,_,ADP,IN,_,15,prep,_,_,F
6,behalf,_,NOUN,NN,_,19,pobj,_,_,F
6,of,_,ADP,IN,_,20,prep,_,_,F
6,yourself,_,PRON,PRP,_,21,pobj,_,_,F
6,and,_,CONJ,CC,_,20,cc,_,_,F
6,the,_,DET,DT,_,26,det,_,_,F
6,legal,_,ADJ,JJ,_,26,amod,_,_,F
6,entity,_,NOUN,NN,_,20,conj,_,_,F
6,for,_,ADP,IN,_,31,prep,_,_,F
6,whom,_,PRON,WP,_,27,pobj,_,_,F
6,you,_,PRON,PRP,_,31,nsubj,_,_,F
6,are,_,VERB,VBP,_,31,aux,_,_,F
6,downloading,_,VERB,VBG,_,26,rcmod,_,_,F
6,and,_,CONJ,CC,_,31,cc,_,_,F
6,installing,_,VERB,VBG,_,31,conj,_,_,F
6,the,_,DET,DT,_,35,det,_,_,F
6,software,_,NOUN,NN,_,31,dobj,_,_,F
6,",",_,.,",",_,15,punct,_,_,F
6,or,_,CONJ,CC,_,15,cc,_,_,F
6,that,_,DET,WDT,_,40,nsubj,_,_,F
6,has,_,VERB,VBZ,_,40,aux,_,_,F
6,given,_,VERB,VBN,_,15,conj,_,_,F
6,you,_,PRON,PRP,_,40,iobj,_,_,F
6,the,_,DET,DT,_,43,det,_,_,F
6,authorization,_,NOUN,NN,_,40,dobj,_,_,F
6,to,_,PRT,TO,_,45,aux,_,_,F
6,use,_,VERB,VB,_,43,infmod,_,_,F
6,the,_,DET,DT,_,47,det,_,_,F
6,software,_,NOUN,NN,_,45,dobj,_,_,F
6,",",_,.,",",_,47,punct,_,_,F
6,whether,_,ADP,IN,_,50,mark,_,_,F
6,explicit,_,ADJ,JJ,_,47,dep,_,_,F
6,or,_,CONJ,CC,_,50,cc,_,_,F
6,implied,_,VERB,VBN,_,50,conj,_,_,F
6,-LRB-,_,.,-LRB-,_,55,punct,_,_,F
6,``,_,.,``,_,55,punct,_,_,F
6,Licensee,_,NOUN,NNP,_,50,dobj,_,_,F
6,'',_,.,'',_,55,punct,_,_,F
6,",",_,.,",",_,55,punct,_,_,F
6,``,_,.,``,_,59,punct,_,_,F
6,You,_,PRON,PRP,_,55,appos,_,_,F
6,'',_,.,'',_,59,punct,_,_,F
6,-RRB-,_,.,-RRB-,_,55,punct,_,_,F
6,and,_,CONJ,CC,_,55,cc,_,_,F
6,ALM,_,NOUN,NNP,_,65,nn,_,_,T
6,Works,_,NOUN,NNP,_,65,nn,_,_,T
6,Ltd,_,NOUN,NNP,_,55,conj,_,_,T
6,",",_,.,",",_,55,punct,_,_,F
6,the,_,DET,DT,_,68,det,_,_,F
6,developer,_,NOUN,NN,_,55,conj,_,_,F
6,and,_,CONJ,CC,_,55,cc,_,_,F
6,the,_,DET,DT,_,71,det,_,_,F
6,owner,_,NOUN,NN,_,55,conj,_,_,F
6,of,_,ADP,IN,_,71,prep,_,_,F
6,the,_,DET,DT,_,74,det,_,_,F
6,software,_,NOUN,NN,_,72,pobj,_,_,F
6,-LRB-,_,.,-LRB-,_,82,punct,_,_,F
6,``,_,.,``,_,82,punct,_,_,F
6,Licensor,_,NOUN,NNP,_,82,nn,_,_,F
6,'',_,.,'',_,82,punct,_,_,F
6,",",_,.,",",_,82,punct,_,_,F
6,``,_,.,``,_,82,punct,_,_,F
6,ALM,_,NOUN,NNP,_,82,nn,_,_,F
6,Works,_,NOUN,NNPS,_,71,dep,_,_,F
6,'',_,.,'',_,82,punct,_,_,F
6,-RRB-,_,.,-RRB-,_,82,punct,_,_,F
6,.,_,.,.,_,15,punct,_,_,F
7,pdf,_,NOUN,NN,_,6,nn,_,_,F
7,Sibental,_,NOUN,NNP,_,6,nn,_,_,F
7,End,_,NOUN,NN,_,4,amod,_,_,F
7,User,_,NOUN,NN,_,6,nn,_,_,F
7,License,_,NOUN,NN,_,6,nn,_,_,F
7,Agreement,_,NOUN,NN,_,7,nsubj,_,_,F
7,Notice,_,NOUN,NN,_,0,ROOT,_,_,F
7,to,_,PRT,TO,_,7,prep,_,_,F
7,user,_,NOUN,NN,_,8,pobj,_,_,F
7,:,_,.,:,_,7,punct,_,_,F
7,This,_,DET,DT,_,15,nsubj,_,_,F
7,is,_,VERB,VBZ,_,15,cop,_,_,F
7,a,_,DET,DT,_,15,det,_,_,F
7,legal,_,ADJ,JJ,_,15,amod,_,_,F
7,document,_,NOUN,NN,_,7,parataxis,_,_,F
7,between,_,ADP,IN,_,15,prep,_,_,F
7,you,_,PRON,PRP,_,16,pobj,_,_,T
7,and,_,CONJ,CC,_,17,cc,_,_,F
7,Sibental,_,NOUN,NNP,_,17,conj,_,_,T
7,-LRB-,_,.,-LRB-,_,22,punct,_,_,F
7,``,_,.,``,_,22,punct,_,_,F
7,SIBENTAL,_,NOUN,NNP,_,19,appos,_,_,F
7,'',_,.,'',_,22,punct,_,_,F
7,-RRB-,_,.,-RRB-,_,22,punct,_,_,F
7,.,_,.,.,_,7,punct,_,_,F
8,This,_,DET,DT,_,2,det,_,_,F
8,Agreement,_,NOUN,NN,_,7,nsubj,_,_,F
8,and,_,CONJ,CC,_,2,cc,_,_,F
8,any,_,DET,DT,_,6,det,_,_,F
8,supplemental,_,ADJ,JJ,_,6,amod,_,_,F
8,terms,_,NOUN,NNS,_,2,conj,_,_,F
8,constitute,_,VERB,VBP,_,0,ROOT,_,_,F
8,the,_,DET,DT,_,10,det,_,_,F
8,entire,_,ADJ,JJ,_,10,amod,_,_,F
8,agreement,_,NOUN,NN,_,7,dobj,_,_,F
8,between,_,ADP,IN,_,10,prep,_,_,F
8,you,_,PRON,PRP,_,11,pobj,_,_,T
8,and,_,CONJ,CC,_,12,cc,_,_,F
8,us,_,PRON,PRP,_,12,conj,_,_,T
8,concerning,_,VERB,VBG,_,10,prep,_,_,F
8,the,_,DET,DT,_,18,det,_,_,F
8,subject,_,ADJ,JJ,_,18,amod,_,_,F
8,matter,_,NOUN,NN,_,15,pobj,_,_,F
8,of,_,ADP,IN,_,18,prep,_,_,F
8,this,_,DET,DT,_,21,det,_,_,F
8,Agreement,_,NOUN,NN,_,19,pobj,_,_,F
8,",",_,.,",",_,21,punct,_,_,F
8,which,_,DET,WDT,_,27,nsubjpass,_,_,F
8,may,_,VERB,MD,_,27,aux,_,_,F
8,only,_,ADV,RB,_,27,advmod,_,_,F
8,be,_,VERB,VB,_,27,auxpass,_,_,F
8,modified,_,VERB,VBN,_,21,rcmod,_,_,F
8,by,_,ADP,IN,_,27,prep,_,_,F
8,us,_,PRON,PRP,_,28,pobj,_,_,F
8,.,_,.,.,_,7,punct,_,_,F
9,http,_,X,ADD,_,19,nsubj,_,_,F
9,:,_,.,:,_,1,punct,_,_,F
9,//www.app2square.com/eula/,_,X,LS,_,6,num,_,_,F
